ctry,ecb,iso3
122,AT,AUT
124,BE,BEL
423,CY,CYP
134,DE,DEU
939,EE,EST
184,ES,ESP
172,FI,FIN
132,FR,FRA
174,GR,GRC
178,IE,IRL
136,IT,ITA
946,LT,LTU
137,LU,LUX
941,LV,LVA
181,MT,MLT
138,NL,NLD
182,PT,PRT
961,SI,SVN
936,SK,SVK
163,U2,
