"Category","2023","2024","2025"
"Austria",-0.7,0.6,1.4
"Belgium",1.5,1.4,1.5
"Bulgaria",2,1.9,2.5
"Croatia",2.6,2.6,2.8
"Cyprus",2.4,2.8,3
"Czechia",-0.4,1.1,2.8
"Denmark",0.5,0.9,1.6
"EA",0.5,0.8,1.5
"Estonia",-3.5,0.6,3.2
"EU",0.5,0.9,1.7
"Finland",-0.4,0.6,1.6
"France",0.9,0.9,1.3
"Germany",-0.3,0.3,1.2
"Greece",2.2,2.3,2.3
"Hungary",-0.8,2.4,3.6
"Ireland",-1.9,1.2,3.2
"Italy",0.6,0.7,1.2
"Latvia",-0.6,1.7,2.7
"Lithuania",-0.3,2.1,3
"Luxembourg",-0.8,1.3,2.1
"Malta",6.1,4.6,4.3
"Netherlands",0.2,0.4,1.6
"Poland",0.2,2.7,3.2
"Portugal",2.3,1.2,1.8
"Romania",1.8,2.9,3.2
"Slovakia",1.1,2.3,2.6
"Slovenia",1.3,1.9,2.7
"Spain",2.5,1.7,2
"Sweden",-0.1,0.2,1.6
