"Category","2025","2026","2027"
"Austria",0.3,0.9,1.2
"Belgium",1,1.1,1.3
"Bulgaria",3,2.7,2.1
"Croatia",3.2,2.9,2.5
"Cyprus",3.4,2.6,2.4
"Czechia",2.4,1.9,2.4
"Denmark",2,2.1,1.7
"EA 21",1.3,1.2,1.4
"Estonia",0.6,2.1,2
"EU 27",1.4,1.4,1.5
"Finland",0.1,0.9,1.2
"France",0.7,0.9,1.1
"Germany",0.2,1.2,1.2
"Greece",2.1,2.2,1.7
"Hungary",0.4,2.3,2.1
"Ireland",10.7,0.2,2.9
"Italy",0.4,0.8,0.8
"Latvia",1,1.7,1.9
"Lithuania",2.4,3,2.2
"Luxembourg",0.9,1.9,2.2
"Malta",4,3.8,3.5
"Netherlands",1.7,1.3,1.7
"Poland",3.2,3.5,2.8
"Portugal",1.9,2.2,2.1
"Romania",0.7,1.1,2.1
"Slovakia",0.8,1,1.4
"Slovenia",1,2.4,2.6
"Spain",2.9,2.3,2
"Sweden",1.5,2.6,2.3
