"Category","2022","2023","2024"
"Austria",4.8,4.9,5
"Belgium",5.6,5.8,5.7
"Croatia",7,6.6,6.1
"Cyprus",6.8,6.9,6.4
"Estonia",5.6,6.2,6.1
"Finland",6.8,7.1,6.8
"France",7.3,7.4,7.5
"Germany",3.1,3.2,3.1
"Greece",12.5,12.2,11.8
"Ireland",4.5,4.3,4.3
"Italy",8.1,7.8,7.7
"Latvia",6.9,6.8,6.5
"Lithuania",6,6.6,6.5
"Luxembourg",4.6,4.8,5
"Malta",2.9,2.9,2.9
"Netherlands",3.5,3.8,3.9
"Portugal",6,6.5,6.3
"Slovakia",6.1,5.8,5.4
"Slovenia",4,3.9,3.8
"Spain",12.9,12.7,12.4
"EA",6.8,6.8,6.7
"Bulgaria",4.3,4.3,4
"CzechRepublic",2.2,2.8,2.6
"Denmark",4.5,5,5.1
"Hungary",3.6,4.2,4
"Poland",2.9,3.3,3.2
"Romania",5.6,5.4,5.1
"Sweden",7.5,7.7,8.2
"EU",6.2,6.2,6.1
