"Category","2024","2025","2026"
"Austria",5.3,5.3,5
"Belgium",5.6,5.7,5.6
"Bulgaria",4.3,4,3.8
"Croatia",5.1,4.7,4.6
"Cyprus",4.9,4.7,4.5
"Czechia",2.6,2.7,2.7
"Denmark",5.8,5.8,5.8
"EA 20",6.5,6.3,6.3
"Estonia",7.5,7.7,7.2
"EU 27",6.1,5.9,5.9
"Finland",8.2,7.9,7.5
"France",7.4,7.5,7.6
"Germany",3.3,3.3,3.4
"Greece",10.4,9.8,9.2
"Hungary",4.5,4.3,4.1
"Ireland",4.4,4.4,4.5
"Italy",6.8,6.3,6.2
"Latvia",6.7,6.7,6.5
"Lithuania",7.5,7,6.9
"Luxembourg",6,6,5.8
"Malta",3.2,3.1,3
"Netherlands",3.7,3.8,3.9
"Poland",2.9,2.8,2.7
"Portugal",6.4,6.3,6.2
"Romania",5.5,5.5,5.4
"Slovakia",5.5,5.3,5.1
"Slovenia",3.5,3.6,3.6
"Spain",11.5,11,10.7
"Sweden",8.5,8.4,7.8
