"Category","2025","2026","2027"
"Austria",3.5,2.4,2.2
"Belgium",2.8,1.8,2
"Bulgaria",3.5,2.9,3.7
"Croatia",4.3,2.8,2.2
"Cyprus",0.9,1.5,1.9
"Czechia",2.3,2.1,2.4
"Denmark",1.9,1,1.8
"EA 21",2.1,1.9,2
"Estonia",4.8,2.8,2.2
"EU 27",2.5,2.1,2.2
"Finland",1.9,1.6,2
"France",1,1.3,1.8
"Germany",2.3,2.2,1.9
"Greece",2.8,2.3,2.4
"Hungary",4.5,3.6,3.5
"Ireland",1.9,1.9,1.7
"Italy",1.7,1.3,2
"Latvia",3.6,2.2,2.4
"Lithuania",3.4,2.8,2.7
"Luxembourg",2.3,1.7,1.9
"Malta",2.4,2.1,2
"Netherlands",3,2.5,2.1
"Poland",3.4,2.9,3.7
"Portugal",2.2,2,2
"Romania",6.7,5.9,3.8
"Slovakia",4.2,4.1,3.1
"Slovenia",2.5,2.3,2.1
"Spain",2.6,2,2
"Sweden",2.5,0.6,1.6
