"Category","2021","2022","2023"
"Austria",2.7,2.5,2
"Belgium",2.7,2.3,1.6
"Cyprus",1.9,1.7,1.2
"Estonia",4,3.9,2.1
"Finland",1.8,1.9,1.9
"France",1.9,2.1,1.4
"Germany",3.1,2.2,1.7
"Greece",0.1,1,0.4
"Ireland",2.3,3.1,1.5
"Italy",1.8,2.1,1.4
"Latvia",3.1,3.6,0.8
"Lithuania",3.8,3.1,2
"Luxembourg",3.2,2.2,1.8
"Malta",1.1,1.6,1.5
"Netherlands",2.1,2.2,1.5
"Portugal",0.8,1.7,1.2
"Slovakia",2.8,4.3,2.2
"Slovenia",1.7,2.1,1.7
"Spain",2.8,2.1,0.7
"EA",2.4,2.2,1.4
"Bulgaria",2.4,2.9,1.8
"Croatia",2.2,2,1.5
"Czechia",3.3,3.4,2.3
"Denmark",1.7,1.9,1.6
"Hungary",5.1,4.8,3.4
"Poland",5,5.2,2.6
"Romania",4,4,2.8
"Sweden",2.4,1.9,1.1
"EU",2.6,2.5,1.6
