"Category","2024","2025","2026"
"Austria",-0.6,1,1.4
"Belgium",1.1,1.2,1.5
"Bulgaria",2.4,2.9,3
"Croatia",3.6,3.3,2.9
"Cyprus",3.6,2.8,2.5
"Czechia",1,2.4,2.7
"Denmark",2.4,2.5,1.8
"EA 20",0.8,1.3,1.6
"Estonia",-1,1.1,2.6
"EU 27",0.9,1.5,1.8
"Finland",-0.3,1.5,1.6
"France",1.1,0.8,1.4
"Germany",-0.1,0.7,1.3
"Greece",2.1,2.3,2.2
"Hungary",0.6,1.8,3.1
"Ireland",-0.5,4,3.6
"Italy",0.7,1,1.2
"Latvia",0,1,2.1
"Lithuania",2.2,3,3
"Luxembourg",1.2,2.3,2.2
"Malta",5,4.3,4.3
"Netherlands",0.8,1.6,1.5
"Poland",3,3.6,3.1
"Portugal",1.7,1.9,2.1
"Romania",1.4,2.5,2.9
"Slovakia",2.2,2.3,2.5
"Slovenia",1.4,2.5,2.6
"Spain",3,2.3,2.1
"Sweden",0.3,1.8,2.6
