"Category","2024","2025","2026"
"Austria",2.9,2.9,2.1
"Belgium",4.3,2.8,1.8
"Bulgaria",2.6,3.6,1.8
"Croatia",4,3.4,2
"Cyprus",2.3,2,2
"Czechia",2.7,2.2,2
"Denmark",1.3,1.6,1.5
"EA 20",2.4,2.1,1.7
"Estonia",3.7,3.8,2.3
"EU 27",2.6,2.3,1.9
"Finland",1,1.7,1.5
"France",2.3,0.9,1.2
"Germany",2.5,2.4,1.9
"Greece",3,2.8,2.3
"Hungary",3.7,4.1,3.3
"Ireland",1.3,1.6,1.4
"Italy",1.1,1.8,1.5
"Latvia",1.3,3,1.7
"Lithuania",0.9,2.6,1.2
"Luxembourg",2.3,2.1,1.8
"Malta",2.4,2.2,2.1
"Netherlands",3.2,3,2
"Poland",3.7,3.6,2.8
"Portugal",2.7,2.1,2
"Romania",5.8,5.1,3.9
"Slovakia",3.2,4,2.9
"Slovenia",2,2.1,1.9
"Spain",2.9,2.3,1.9
"Sweden",2,2.2,1.6
