"Category","2024","2025","2026"
"Austria",5.2,5.3,5.2
"Belgium",5.7,6.1,5.8
"Bulgaria",4.2,4,3.8
"Croatia",5,4.6,4.5
"Cyprus",4.9,4.7,4.6
"Czechia",2.6,2.6,2.6
"Denmark",6.2,6.2,6.3
"EA 20",6.4,6.3,6.1
"Estonia",7.6,7.6,7.3
"EU 27",5.9,5.9,5.7
"Finland",8.4,8.6,8.3
"France",7.4,7.9,7.8
"Germany",3.4,3.6,3.3
"Greece",10.1,9.3,8.7
"Hungary",4.5,4.4,4.3
"Ireland",4.3,4.3,4.4
"Italy",6.5,5.9,5.9
"Latvia",6.9,6.8,6.6
"Lithuania",7.1,6.8,6.6
"Luxembourg",6.4,6.6,6.4
"Malta",3.1,3.1,3.1
"Netherlands",3.7,3.9,4
"Poland",2.9,2.8,2.8
"Portugal",6.5,6.4,6.3
"Romania",5.4,5.3,5.2
"Slovakia",5.3,5.3,5.3
"Slovenia",3.7,3.7,3.8
"Spain",11.4,10.4,9.9
"Sweden",8.4,8.7,8.4
