"Category","2023","2024","2025"
"Austria",7.7,4.1,3
"Belgium",2.4,4.2,1.9
"Bulgaria",8.8,4,2.9
"Croatia",8.1,2.4,1.6
"Cyprus",4.1,3,2.2
"Czechia",12.2,3.2,2.4
"Denmark",3.6,2.4,2.1
"EA",5.6,3.2,2.2
"Estonia",9.4,3.5,2.1
"EU",6.5,3.5,2.4
"Finland",4.4,1.9,2
"France",5.8,3,2
"Germany",6.2,3.1,2.2
"Greece",4.3,2.8,2.1
"Hungary",17.2,5.2,4.1
"Ireland",5.3,2.7,2.1
"Italy",6.1,2.7,2.3
"Latvia",9.6,3.2,1.9
"Lithuania",8.8,2.9,2.5
"Luxembourg",3.2,3,1.8
"Malta",5.7,3.3,3.1
"Netherlands",4.6,3.7,2
"Poland",11.1,6.2,3.8
"Portugal",5.5,3.2,2.4
"Romania",9.8,5.9,3.4
"Slovakia",10.8,5.2,3
"Slovenia",7.5,3.9,2.4
"Spain",3.6,3.4,2.1
"Sweden",5.7,1.8,2.2
