"Category","2025","2026","2027"
"Austria",5.6,5.5,5.3
"Belgium",6,6.2,6.1
"Bulgaria",3.5,3.7,3.8
"Croatia",4.7,4.5,4.6
"Cyprus",4.7,4.5,4.3
"Czechia",2.7,3,3.1
"Denmark",6.1,6.1,6
"EA 21",6.3,6.2,6.1
"Estonia",7.6,7.2,7.1
"EU 27",5.9,5.9,5.8
"Finland",9.5,9.3,9
"France",7.6,8,8.2
"Germany",3.6,3.5,3.3
"Greece",9.3,8.6,8.2
"Hungary",4.5,4.4,4.3
"Ireland",4.6,4.7,4.7
"Italy",6.2,6.1,6
"Latvia",6.8,6.6,6.5
"Lithuania",7.1,6.8,6.8
"Luxembourg",6.6,6.7,6.5
"Malta",3,2.9,2.9
"Netherlands",3.9,4.1,4.3
"Poland",3.1,3.1,3
"Portugal",6.3,6.2,6.1
"Romania",6.1,5.8,5.6
"Slovakia",5.4,5.6,5.6
"Slovenia",3.4,3.5,3.5
"Spain",10.4,9.8,9.6
"Sweden",9,8.4,7.9
