"Category","2023","2024","2025"
"Austria",-0.5,1,1.3
"Belgium",1.4,1.4,1.5
"Bulgaria",2,1.8,2.6
"Croatia",2.6,2.5,2.8
"Cyprus",2.2,2.6,2.9
"Czechia",-0.4,1.4,3
"Denmark",1.2,1.4,1.6
"EA",0.6,1.2,1.6
"Estonia",-2.6,1.9,2.7
"EU",0.6,1.3,1.7
"Finland",0.1,0.8,1.5
"France",1,1.2,1.4
"Germany",-0.3,0.8,1.2
"Greece",2.4,2.3,2.2
"Hungary",-0.7,2.4,3.6
"Ireland",-0.9,3,3.4
"Italy",0.7,0.9,1.2
"Latvia",-0.2,2.4,3
"Lithuania",-0.4,2.5,3.4
"Luxembourg",-0.6,1.4,2
"Malta",4,4,4.2
"Netherlands",0.6,1.1,1.7
"Poland",0.4,2.7,3.2
"Portugal",2.2,1.3,1.8
"Romania",2.2,3.1,3.4
"Slovakia",1.3,1.7,2
"Slovenia",1.3,2,2.7
"Spain",2.4,1.7,2
"Sweden",-0.5,-0.2,1.3
