"Category","2022","2023","2024"
"Austria",8.7,6.7,3.3
"Belgium",10.4,6.2,3.3
"Cyprus",8,4.2,2.5
"Estonia",19.3,6.6,2.6
"Finland",7.2,4.3,1.9
"France",5.8,4.4,2.2
"Germany",8.8,7.5,2.9
"Greece",10,6,2.4
"Ireland",8.3,6,2.8
"Italy",8.7,6.6,2.3
"Latvia",16.9,8.3,1.3
"Lithuania",18.9,9.1,2.1
"Luxembourg",8.4,3.8,3.1
"Malta",6.1,4,2.4
"Netherlands",11.6,4.2,3.9
"Portugal",8,5.8,2.3
"Slovakia",11.8,13.9,3.6
"Slovenia",9.2,6.5,3.5
"Spain",8.5,4.8,2.3
"EA",8.5,6.1,2.6
"Bulgaria",12.8,7.4,3.2
"Croatia",10.1,6.5,2.3
"Czechia",15.6,9.5,3.5
"Denmark",7.9,3.7,2
"Hungary",14.8,15.7,3.9
"Poland",13.3,13.8,4.9
"Romania",11.8,10.2,6.8
"Sweden",8.1,6.6,1.8
"EU",9.3,7,3
