"Category","2021","2022","2023"
"Austria",2.8,6,3
"Belgium",3.2,7.8,1.9
"Cyprus",2.3,5.2,2.7
"Estonia",4.5,11.2,2.5
"Finland",2.1,4.5,2.3
"France",2.1,4.9,3.1
"Germany",3.2,6.5,3.1
"Greece",0.6,6.3,1.9
"Ireland",2.4,6.1,3.1
"Italy",1.9,5.9,2.3
"Latvia",3.2,9.4,3.5
"Lithuania",4.6,12.5,3
"Luxembourg",3.5,6.8,2.3
"Malta",0.7,4.5,2.6
"Netherlands",2.8,7.4,2.7
"Portugal",0.9,4.4,1.9
"Slovakia",2.8,9.8,6.8
"Slovenia",2,6.1,3.3
"Spain",3,6.3,1.8
"EA",2.6,6.1,2.7
"Bulgaria",2.8,11.9,5
"Croatia",2.7,6.1,2.8
"Czechia",3.3,11.7,4.5
"Denmark",1.9,5.1,2.7
"Hungary",5.2,9,4.1
"Poland",5.2,11.6,7.3
"Romania",4.1,8.9,5.1
"Sweden",2.7,5.3,3
"EU",2.9,6.8,3.2
