"Category","2021","2022","2023"
"Austria",4.8,3.7,1.5
"Belgium",6.2,2.3,1.3
"Bulgaria",4.2,2.8,2.3
"Croatia",10.2,3.4,2.9
"Cyprus",5.5,3.2,2.1
"Czechia",3.5,2.3,2
"Denmark",4.9,3,1.2
"Estonia",8.3,1.6,1.9
"Finland",3,1.8,1.2
"France",6.8,2.4,1.4
"Germany",2.9,1.4,1.3
"Greece",8.3,4,2.4
"Hungary",7.1,5.2,2.1
"Ireland",13.5,5.3,4
"Italy",6.6,2.9,0.9
"Latvia",4.5,3.9,2.2
"Lithuania",5,1.9,2.5
"Luxembourg",6.9,2.6,2.1
"Malta",10.4,4.9,3.8
"Netherlands",4.9,3,1
"Poland",5.9,5.2,1.5
"Portugal",4.9,6.5,1.9
"Romania",5.9,3.9,2.9
"Slovakia",3,1.9,2.7
"Slovenia",8.1,5.4,1
"Spain",5.1,4,2.1
"Sweden",5.1,1.3,0.8
"Euro area",5.3,2.6,1.4
"EU",5.4,2.7,1.5
