"Category","2022","2023","2024"
"Austria",5,0.4,1.6
"Belgium",3.2,1.2,1.4
"Croatia",6.2,1.6,2.3
"Cyprus",5.6,2.3,2.7
"Estonia",-1.3,-0.4,3.1
"Finland",2.1,0.2,1.4
"France",2.6,0.7,1.4
"Germany",1.8,0.2,1.4
"Greece",5.9,2.4,1.9
"Ireland",12,5.5,5
"Italy",3.7,1.2,1.1
"Latvia",2.8,1.4,2.8
"Lithuania",1.9,0.5,2.7
"Luxembourg",1.5,1.6,2.4
"Malta",6.9,3.9,4.1
"Netherlands",4.5,1.8,1.2
"Portugal",6.7,2.4,1.8
"Slovakia",1.7,1.7,2.1
"Slovenia",5.4,1.2,2.2
"Spain",5.5,1.9,2
"EA",3.5,1.1,1.6
"Bulgaria",3.4,1.5,2.4
"CzechRepublic",2.5,0.2,2.6
"Denmark",3.8,0.3,1.5
"Hungary",4.6,0.5,2.8
"Poland",5.1,0.7,2.7
"Romania",4.7,3.2,3.5
"Sweden",2.6,-0.5,1.1
"EU",3.5,1,1.7
