"Category","2022","2023","2024"
"Austria",5,5.2,5.3
"Belgium",5.8,6.4,6.3
"Cyprus",7.2,7.2,6.9
"Estonia",6.1,6.6,6.2
"Finland",7,7.2,6.9
"France",7.7,8.1,7.7
"Germany",3.1,3.5,3.5
"Greece",12.6,12.6,12.1
"Ireland",4.4,4.8,5
"Italy",8.3,8.7,8.5
"Latvia",7.1,8.1,7.9
"Lithuania",6,7.1,7
"Luxembourg",4.7,5.1,4.9
"Malta",3.2,3.1,3
"Netherlands",3.7,4.3,4.3
"Portugal",5.9,5.9,5.7
"Slovakia",6.3,6.4,6.4
"Slovenia",4.1,4.3,4.1
"Spain",12.7,12.7,12.6
"EA",6.8,7.2,7
"Bulgaria",5.2,5.2,5.3
"Croatia",6.3,6.3,5.9
"Czechia",2.7,3.3,3.6
"Denmark",4.5,5.5,5.6
"Hungary",3.6,4.2,4.2
"Poland",2.7,3,3.1
"Romania",5.4,5.8,5.4
"Sweden",7.2,7.6,7.8
"EU",6.2,6.5,6.4
