"Category","2023","2024","2025"
"Austria",5.1,5.3,5.1
"Belgium",5.5,5.6,5.4
"Bulgaria",4.3,4.3,4
"Croatia",6.1,5.8,5.6
"Cyprus",6.1,5.6,5.4
"Czechia",2.6,2.8,2.9
"Denmark",5.1,5.6,6
"EA 20",6.6,6.6,6.5
"Estonia",6.4,7.4,6.9
"EU 27",6.1,6.1,6
"Finland",7.2,7.4,7.2
"France",7.3,7.7,7.8
"Germany",3.1,3.1,3.1
"Greece",11.1,10.3,9.7
"Hungary",4.1,4.5,4
"Ireland",4.3,4.4,4.4
"Italy",7.7,7.5,7.3
"Latvia",6.5,6.5,6.3
"Lithuania",6.9,7,6.9
"Luxembourg",5.2,5.8,5.7
"Malta",3.1,3,2.9
"Netherlands",3.6,3.9,4
"Poland",2.8,3,2.9
"Portugal",6.5,6.5,6.4
"Romania",5.6,5.5,5.5
"Slovakia",5.8,5.4,5.2
"Slovenia",3.7,3.7,3.6
"Spain",12.2,11.6,11.1
"Sweden",7.7,8.4,8.2
