"Category","2022","2023","2024"
"Austria",8.6,6.6,3.6
"Belgium",10.3,4.3,2.7
"Croatia",10.7,6.5,1.6
"Cyprus",8.1,4,2.5
"Estonia",19.4,6.2,2.2
"Finland",7.2,4.2,2
"France",5.9,5.2,2.5
"Germany",8.7,6.3,2.4
"Greece",9.3,4.5,2.4
"Ireland",8.1,4.4,2.1
"Italy",8.7,6.1,2.6
"Latvia",17.2,7.9,1.5
"Lithuania",18.9,8.7,2.1
"Luxembourg",8.2,3.1,2.7
"Malta",6.1,4.3,2.4
"Netherlands",11.6,4.5,2.7
"Portugal",8.1,5.4,2.6
"Slovakia",12.1,9.7,5.3
"Slovenia",9.3,6.1,3.5
"Spain",8.3,4.4,2.3
"EA",8.4,5.6,2.5
"Bulgaria",13,7.8,4
"Czechia",14.8,9.3,3.5
"Denmark",8.5,4.4,2.5
"Hungary",15.3,16.4,4
"Poland",13.2,11.7,4.4
"Romania",12,9.7,5.5
"Sweden",8.1,6.3,1.8
"EU",9.2,6.4,2.8
