"Category","2021","2022","2023"
"Austria",2.8,3.3,2.2
"Belgium",3.2,4.3,1.3
"Cyprus",2.3,2.6,1.2
"Estonia",4.5,6.1,2.1
"Finland",2.1,2.6,1.9
"France",2.1,2.8,1.7
"Germany",3.2,3.7,2.1
"Greece",0.6,3.1,1.1
"Ireland",2.4,4.6,2.5
"Italy",1.9,3.8,1.6
"Latvia",3.2,5.9,0.9
"Lithuania",4.6,6.7,2.2
"Luxembourg",3.5,3.8,1.5
"Malta",0.7,2.1,1.9
"Netherlands",2.8,4,1.4
"Portugal",0.9,2.3,1.3
"Slovakia",2.8,6.4,2.4
"Slovenia",2,3.7,2.1
"Spain",3,3.6,1.1
"EA",2.6,3.5,1.7
"Bulgaria",2.8,6.3,3.9
"Croatia",2.7,3.5,1.6
"Czechia",3.3,5.8,2.2
"Denmark",1.9,2.5,2.1
"Hungary",5.2,5.4,3.6
"Poland",5.2,6.8,3.8
"Romania",4.1,5.3,2.5
"Sweden",2.7,2.9,1.2
"EU",2.9,3.9,1.9
