"Category","2023","2024","2025"
"Austria",7.7,3.6,2.8
"Belgium",2.3,4,2.3
"Bulgaria",8.6,3.1,2.6
"Croatia",8.4,3.5,2.2
"Cyprus",3.9,2.4,2.1
"Czechia",12,2.5,2.2
"Denmark",3.4,2,1.9
"EA 20",5.4,2.5,2.1
"Estonia",9.1,3.4,2.1
"EU 27",6.4,2.7,2.2
"Finland",4.3,1.4,2.1
"France",5.7,2.5,2
"Germany",6,2.4,2
"Greece",4.2,2.8,2.1
"Hungary",17,4.1,3.7
"Ireland",5.2,1.9,1.8
"Italy",5.9,1.6,1.9
"Latvia",9.1,1.6,2
"Lithuania",8.7,1.9,1.8
"Luxembourg",2.9,2.3,2
"Malta",5.6,2.8,2.3
"Netherlands",4.1,2.5,2
"Poland",10.9,4.3,4.2
"Portugal",5.3,2.3,1.9
"Romania",9.7,5.9,4
"Slovakia",11,3.1,3.6
"Slovenia",7.2,2.8,2.4
"Spain",3.4,3.1,2.3
"Sweden",5.9,2,1.8
