"Category","2024","2025","2026"
"Austria",-1.2,-0.3,1
"Belgium",1,0.8,0.9
"Bulgaria",2.8,2,2.1
"Croatia",3.9,3.2,2.9
"Cyprus",3.4,3,2.5
"Czechia",1.1,1.9,2.1
"Denmark",3.7,3.6,2
"EA 20",0.9,0.9,1.4
"Estonia",-0.3,1.1,2.3
"EU 27",1,1.1,1.5
"Finland",-0.1,1,1.3
"France",1.2,0.6,1.3
"Germany",-0.2,0,1.1
"Greece",2.3,2.3,2.2
"Hungary",0.5,0.8,2.5
"Ireland",1.2,3.4,2.5
"Italy",0.7,0.7,0.9
"Latvia",-0.4,0.5,2
"Lithuania",2.8,2.8,3.1
"Luxembourg",1,1.7,2
"Malta",6,4.1,4
"Netherlands",1,1.3,1.2
"Poland",2.9,3.3,3
"Portugal",1.9,1.8,2.2
"Romania",0.8,1.4,2.2
"Slovakia",2.1,1.5,1.4
"Slovenia",1.6,2,2.4
"Spain",3.2,2.6,2
"Sweden",1,1.1,1.9
