"Category","2021","2022","2023"
"Austria",5,4.6,4.5
"Belgium",6.2,6.3,5.8
"Cyprus",7.5,7.1,6.6
"Estonia",6.8,5.7,5.2
"Finland",7.7,6.9,6.5
"France",8,8,7.9
"Germany",3.6,3.4,3.2
"Greece",15.3,15,14.5
"Ireland",7.5,6.8,6.2
"Italy",9.8,9.3,9.2
"Latvia",7.3,6.9,6.6
"Lithuania",7.1,6.3,6
"Luxembourg",6.1,5.8,5.7
"Malta",4,3.8,3.7
"Netherlands",3.5,3.6,3.6
"Portugal",6.7,6.5,6.4
"Slovakia",6.8,6.4,5.6
"Slovenia",4.6,4.5,4.4
"Spain",15.2,14.3,13.9
"EA",7.9,7.5,7.3
"Bulgaria",5.1,4.6,4.4
"Croatia",6.7,6.2,5.8
"Czechia",2.7,2.6,2.4
"Denmark",4.8,4.5,4.3
"Hungary",4.1,3.1,2.9
"Poland",3.3,3.1,3
"Romania",5,4.8,4.5
"Sweden",8.2,7.1,6.7
"EU",7.1,6.7,6.5
