"Category","2024","2025","2026"
"Austria",2.9,2.1,1.7
"Belgium",4.4,2.9,1.9
"Bulgaria",2.5,2.3,2.9
"Croatia",4,3.4,2
"Cyprus",2.2,2.1,2
"Czechia",2.7,2.4,2
"Denmark",1.3,1.9,1.7
"EA 20",2.4,2.1,1.9
"Estonia",3.6,3.6,2.4
"EU 27",2.6,2.4,2
"Finland",1,2,1.8
"France",2.4,1.9,1.8
"Germany",2.4,2.1,1.9
"Greece",3,2.4,1.9
"Hungary",3.8,3.6,3.2
"Ireland",1.4,1.9,1.8
"Italy",1.1,1.9,1.7
"Latvia",1.2,2.2,2.2
"Lithuania",0.9,1.7,1.6
"Luxembourg",2.3,2.4,1.8
"Malta",2.5,2.2,2
"Netherlands",3.2,2.4,1.9
"Poland",3.8,4.7,3
"Portugal",2.6,2.1,1.9
"Romania",5.5,3.9,3.6
"Slovakia",3.1,5.1,3
"Slovenia",2.1,3.2,2.1
"Spain",2.8,2.2,2
"Sweden",1.9,1.5,1.8
