"Category","2023","2024","2025"
"Austria",5.3,5.4,5.3
"Belgium",5.6,5.6,5.4
"Bulgaria",4.2,4.2,4.2
"Croatia",6.5,6.2,5.8
"Cyprus",6.4,6.1,5.9
"Czechia",2.4,2.5,2.5
"Denmark",4.6,5.2,5.5
"EA",6.6,6.6,6.4
"Estonia",7,6.9,6.8
"EU",6,6,5.9
"Finland",7.2,7.3,7
"France",7.2,7.4,7.5
"Germany",3.1,3.2,3.2
"Greece",11.4,10.7,9.9
"Hungary",4.1,4.2,4.1
"Ireland",4.2,4.2,4.3
"Italy",7.6,7.4,7.3
"Latvia",6.8,6.6,6.5
"Lithuania",6.8,6.7,6.5
"Luxembourg",5.5,5.9,6
"Malta",2.7,2.7,2.7
"Netherlands",3.6,3.9,3.9
"Poland",3,2.8,2.7
"Portugal",6.5,6.5,6.4
"Romania",5.4,5.2,5.3
"Slovakia",5.7,5.4,5.2
"Slovenia",3.6,3.7,3.6
"Spain",12.1,11.6,11.1
"Sweden",7.6,8.5,8.6
