"Category","2021","2022","2023"
"Austria",4.4,4.9,1.9
"Belgium",6,2.6,1.9
"Cyprus",5.4,4.2,3.5
"Estonia",9,3.7,3.5
"Finland",3.4,2.8,2
"France",6.5,3.8,2.3
"Germany",2.7,4.6,1.7
"Greece",7.1,5.2,3.6
"Ireland",14.6,5.1,4.1
"Italy",6.2,4.3,2.3
"Latvia",4.7,5,4
"Lithuania",5,3.6,3.4
"Luxembourg",5.8,3.7,2.7
"Malta",5,6.2,4.8
"Netherlands",4,3.3,1.6
"Portugal",4.5,5.3,2.4
"Slovakia",3.8,5.3,4.3
"Slovenia",6.4,4.2,3.5
"Spain",4.6,5.5,4.4
"EA",5,4.3,2.4
"Bulgaria",3.8,4.1,3.5
"Croatia",8.1,5.6,3.4
"Czechia",3,4.4,3.2
"Denmark",4.3,2.7,2.4
"Hungary",7.4,5.4,3.2
"Poland",4.9,5.2,4.4
"Romania",7,5.1,5.2
"Sweden",3.9,3.5,1.7
"EU",5,4.3,2.5
