"Category","2023","2024","2025"
"Austria",-0.8,0.3,1.6
"Belgium",1.4,1.3,1.4
"Bulgaria",1.8,1.9,2.9
"Croatia",3.1,3.3,2.9
"Cyprus",2.5,2.8,2.9
"Czechia",-0.3,1.2,2.8
"Denmark",1.9,2.6,1.4
"EA 20",0.4,0.8,1.4
"Estonia",-3,-0.5,3.1
"EU 27",0.4,1,1.6
"Finland",-1,,1.4
"France",0.7,0.7,1.3
"Germany",-0.3,0.1,1
"Greece",2,2.2,2.3
"Hungary",-0.9,2.4,3.5
"Ireland",-3.2,1.2,3.6
"Italy",0.9,0.9,1.1
"Latvia",-0.3,1.7,2.6
"Lithuania",-0.3,2,2.9
"Luxembourg",-1.1,1.4,2.3
"Malta",5.6,4.6,4.3
"Netherlands",0.1,0.8,1.5
"Poland",0.2,2.8,3.4
"Portugal",2.3,1.7,1.9
"Romania",2.1,3.3,3.1
"Slovakia",1.6,2.2,2.9
"Slovenia",1.6,2.3,2.6
"Spain",2.5,2.1,1.9
"Sweden",-0.2,0.2,2.1
