"Category","2022","2023","2024"
"Austria",4.6,0.3,1.1
"Belgium",2.8,0.2,1.5
"Cyprus",5.6,1,1.9
"Estonia",-0.1,0.7,2.1
"Finland",2.3,0.2,1.4
"France",2.6,0.4,1.5
"Germany",1.6,-0.6,1.4
"Greece",6,1,2
"Ireland",7.9,3.2,3.1
"Italy",3.8,0.3,1.1
"Latvia",1.9,-0.3,2.6
"Lithuania",2.5,0.5,2.4
"Luxembourg",1.5,1,2.4
"Malta",5.7,2.8,3.7
"Netherlands",4.6,0.6,1.3
"Portugal",6.6,0.7,1.7
"Slovakia",1.9,0.5,1.9
"Slovenia",6.2,0.8,1.7
"Spain",4.5,1,2
"EA",3.2,0.3,1.5
"Bulgaria",3.1,1.1,2.4
"Croatia",6,1,1.7
"Czechia",2.5,0.1,1.8
"Denmark",3,,1.3
"Hungary",5.5,0.1,2.6
"Poland",4,0.7,2.6
"Romania",5.8,1.8,2.2
"Sweden",2.9,-0.6,0.8
"EU",3.3,0.3,1.6
