"Category","2023","2024","2025"
"Austria",7.7,4,3
"Belgium",2.3,3.5,2.3
"Bulgaria",8.6,3.4,2.9
"Croatia",8.4,2.5,2
"Cyprus",3.9,2.4,2.1
"Czechia",12,2.9,2.3
"Denmark",3.4,1.7,2.2
"EA",5.4,2.7,2.2
"Estonia",9.1,3.2,1.9
"EU",6.3,3,2.5
"Finland",4.3,1.4,1.5
"France",5.7,2.8,2
"Germany",6,2.8,2.4
"Greece",4.2,2.7,2
"Hungary",17,4.5,4.1
"Ireland",5.2,2.2,1.9
"Italy",5.9,2,2.3
"Latvia",9.1,2.2,2.2
"Lithuania",8.7,2.4,2.4
"Luxembourg",2.9,2.6,2.3
"Malta",5.6,2.9,2.7
"Netherlands",4.1,2.6,2
"Poland",10.9,5.2,4.7
"Portugal",5.3,2.3,1.9
"Romania",9.7,5.8,3.6
"Slovakia",11,3.5,2.6
"Slovenia",7.2,2.9,2
"Spain",3.4,3.2,2.1
"Sweden",5.9,1.7,1.9
