"Category","2021","2022","2023"
"Austria",4.7,4.3,2.3
"Belgium",6.1,2.7,2.2
"Cyprus",5.3,4.1,3.5
"Estonia",7.5,3.1,4
"Finland",3.5,3,2
"France",7,3.6,2.1
"Germany",2.8,3.6,2.6
"Greece",8.5,4.9,3.5
"Ireland",13.7,5.5,4.5
"Italy",6.5,4.1,2.3
"Latvia",4.7,4.4,3.8
"Lithuania",4.8,3.4,3.4
"Luxembourg",7,3.9,2.9
"Malta",5.9,6,5
"Netherlands",4.3,3,2.7
"Portugal",4.9,5.5,2.6
"Slovakia",3,5,5.1
"Slovenia",6.9,3.8,3.6
"Spain",5,5.6,4.4
"EA",5.3,4,2.7
"Bulgaria",4,3.7,3.9
"Croatia",10.5,4.8,3
"Czechia",3.3,4.4,3.9
"Denmark",4,2.8,2.3
"Hungary",6.5,5,3.2
"Poland",5.7,5.5,4.2
"Romania",6.3,4.2,4.5
"Sweden",5,3.8,2
"EU",5.3,4,2.8
